Time (s),T_air_outlet (°C)
2023-12-20 00:00:00,-501.92006244989744
2023-12-20 00:15:00,-10382.500038767339
2023-12-20 00:20:00,-181885.7994069099
2023-12-20 00:25:00,-2959050.901320924
2023-12-20 00:30:00,-46271471.64437843
2023-12-20 00:45:00,-698766324.8268193
2023-12-20 00:50:00,-10258173693.247711
2023-12-20 00:55:00,-151981717462.36404
2023-12-20 01:00:00,-2179998938341.966
2023-12-20 01:15:00,-31182629195648.68
2023-12-20 01:20:00,-443147333702410.06
2023-12-20 01:25:00,-6272999531580409.0
2023-12-20 01:30:00,-8.783704624306715e+16
2023-12-20 01:45:00,-1.2353784052396104e+18
2023-12-20 01:50:00,-1.7089237810231495e+19
2023-12-20 01:55:00,-2.364647886489364e+20
2023-12-20 02:00:00,-3.2371770116593806e+21
2023-12-20 02:15:00,-4.469335011877152e+22
2023-12-20 02:20:00,-6.164167843149887e+23
2023-12-20 02:25:00,-8.38544820111156e+24
2023-12-20 02:30:00,-1.1427035671724635e+26
2023-12-20 02:45:00,-1.5519982700315534e+27
2023-12-20 02:50:00,-2.1166085983998535e+28
2023-12-20 02:55:00,-2.8704226623600025e+29
2023-12-20 03:00:00,-3.8904916108302004e+30
2023-12-20 03:15:00,-5.298054107097094e+31
2023-12-20 03:20:00,-7.175401089135215e+32
2023-12-20 03:25:00,-9.70202107359974e+33
2023-12-20 03:30:00,-1.327597419214343e+35
2023-12-20 03:45:00,-1.7827529887275227e+36
2023-12-20 03:50:00,-2.3733010359943554e+37
2023-12-20 03:55:00,-3.2123023754198558e+38
2023-12-20 04:00:00,-4.316718093153546e+39
2023-12-20 04:15:00,-5.8212045710560885e+40
2023-12-20 04:20:00,-7.812110584887955e+41
2023-12-20 04:25:00,-1.0433678159338448e+43
2023-12-20 04:30:00,-1.3759833296090953e+44
2023-12-20 04:45:00,-1.8435701121937175e+45
2023-12-20 04:50:00,-2.384854329400398e+46
2023-12-20 04:55:00,-3.1591185819182333e+47
2023-12-20 05:00:00,-4.226921234816245e+48
2023-12-20 05:15:00,-5.626602096358632e+49
2023-12-20 05:20:00,-7.116541670360586e+50
2023-12-20 05:25:00,-9.587968733972342e+51
2023-12-20 05:30:00,-1.2597198255405746e+53
2023-12-20 05:45:00,-1.5998286078009938e+54
2023-12-20 05:50:00,-2.0977689239632355e+55
2023-12-20 05:55:00,-2.815219987703836e+56
2023-12-20 06:00:00,-3.762799447231323e+57
2023-12-20 06:15:00,-4.9566034472921407e+58
2023-12-20 06:20:00,-6.545448306187442e+59
2023-12-20 06:25:00,-8.63413712318997e+60
2023-12-20 06:30:00,-1.1602370244523552e+62
2023-12-20 06:45:00,-1.5412888438923994e+63
2023-12-20 06:50:00,-2.055365024872493e+64
2023-12-20 06:55:00,-2.709373915194037e+65
2023-12-20 07:00:00,-3.6052243523946266e+66
2023-12-20 07:15:00,-4.8380362007302405e+67
2023-12-20 07:20:00,-6.459366314690236e+68
